epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4660.61,0.99377,0.76171,1.1815,0.92293,0.77969,0.84743,0.59835,0.96521,0.65908,1.13558,0.000359409,0.000359409,0.000359409
43,4771.02,0.98509,0.75999,1.1834,0.89224,0.78897,0.84148,0.60974,0.96427,0.64289,1.13474,0.000341077,0.000341077,0.000341077
44,4881.64,0.99702,0.74772,1.18136,0.9426,0.79372,0.84731,0.61247,0.97554,0.63605,1.14114,0.000322745,0.000322745,0.000322745
45,4992.52,0.9734,0.74268,1.18098,0.91305,0.79205,0.83915,0.61325,0.96009,0.64355,1.13003,0.000304414,0.000304414,0.000304414
46,5102.73,0.98483,0.73803,1.17519,0.9154,0.79476,0.84557,0.60896,0.97278,0.63608,1.14147,0.000286083,0.000286083,0.000286083
47,5212.56,0.96142,0.7203,1.16647,0.88417,0.80474,0.84819,0.61231,0.95078,0.64743,1.12361,0.000267751,0.000267751,0.000267751
48,5322.58,0.94928,0.70664,1.16237,0.90514,0.79717,0.84938,0.61877,0.95253,0.63914,1.12283,0.00024942,0.00024942,0.00024942
49,5433.24,0.96077,0.71169,1.1675,0.88722,0.80722,0.85808,0.63109,0.93682,0.6146,1.11443,0.000231088,0.000231088,0.000231088
50,5543.87,0.93157,0.68263,1.14958,0.91704,0.78798,0.85218,0.62233,0.94822,0.61167,1.11476,0.000212757,0.000212757,0.000212757
51,5655.09,0.87205,0.53703,1.09825,0.90299,0.80441,0.85311,0.62136,0.92946,0.60611,1.11524,0.000194425,0.000194425,0.000194425
52,5765.04,0.85987,0.51304,1.09027,0.91499,0.78326,0.84207,0.61786,0.92999,0.62911,1.10235,0.000176094,0.000176094,0.000176094
53,5874.99,0.8393,0.49877,1.07163,0.92582,0.80081,0.85371,0.62775,0.92344,0.59557,1.10836,0.000157762,0.000157762,0.000157762
54,5983.97,0.83452,0.48783,1.07092,0.90522,0.79479,0.84708,0.63119,0.9253,0.60209,1.11259,0.000139431,0.000139431,0.000139431
55,6093.02,0.82442,0.47042,1.0705,0.91932,0.7928,0.85088,0.62864,0.92698,0.606,1.10456,0.000121099,0.000121099,0.000121099
56,6202.7,0.81644,0.46669,1.06358,0.92411,0.80072,0.85578,0.63713,0.90937,0.59788,1.09054,0.000102768,0.000102768,0.000102768
57,6312.22,0.80795,0.45926,1.05012,0.92985,0.81157,0.86085,0.64049,0.91401,0.57522,1.09875,8.4436e-05,8.4436e-05,8.4436e-05
58,6420.88,0.80416,0.44884,1.05024,0.91353,0.818,0.86148,0.63724,0.90905,0.59039,1.10707,6.61045e-05,6.61045e-05,6.61045e-05
59,6530.06,0.79753,0.44445,1.04429,0.91246,0.80937,0.85899,0.6419,0.90813,0.579,1.09598,4.7773e-05,4.7773e-05,4.7773e-05
60,6640.68,0.78972,0.44466,1.04792,0.91487,0.8019,0.85423,0.64158,0.90876,0.58259,1.0886,2.94415e-05,2.94415e-05,2.94415e-05
